wavenumber,abs,,
10676.21923,0.94585,63.2996,59.67078431
10676.06723,0.96246,62.90096,59.48259409
10676.03323,0.95102,63.17552,59.61227223
10676.02823,0.97312,62.64512,59.36150268
10675.99623,0.95217,63.14792,59.59924916
10675.95323,0.96336,62.87936,59.47238014
10675.93723,0.9445,63.332,59.68605365
10675.91123,0.97878,62.50928,59.29710786
10675.87523,0.92143,63.88568,59.94638855
10675.84223,0.95814,63.00464,59.53159665
10675.80923,0.93142,63.64592,59.8337948
10675.77123,0.93854,63.47504,59.75341831
10675.73023,0.93606,63.53456,59.78142688
10675.69123,0.939,63.464,59.74822173
10675.65623,0.90829,64.20104,60.09416361
10675.61923,0.92789,63.73064,59.87360437
10675.58222,0.90405,64.3028,60.14177001
10675.54722,0.89435,64.5356,60.25053942
10675.51122,0.88066,64.86416,60.40371677
10675.47922,0.88918,64.65968,60.30843225
10675.44722,0.87433,65.01608,60.47441194
10675.42422,0.88619,64.73144,60.34188844
10675.41622,0.90519,64.27544,60.12897388
10675.22922,0.85591,65.45816,60.67966299
10675.18622,0.879,64.904,60.42226411
10675.15622,0.86813,65.16488,60.54357522
10675.14822,0.88,64.88,60.4110917
10675.11122,0.86311,65.28536,60.59951732
10675.07322,0.85628,65.44928,60.67554697
10675.04022,0.84038,65.83088,60.85217334
10675.02822,0.85203,65.55128,60.72280873
10675.00622,0.81512,66.43712,61.13172662
10674.97022,0.83665,65.9204,60.89353414
10674.93522,0.81513,66.43688,61.13161621
10674.89222,0.80012,66.79712,61.29712881
10674.85422,0.81569,66.42344,61.12543251
10674.81822,0.78261,67.21736,61.48964547
10674.78522,0.80429,66.69704,61.25119183
10674.74622,0.7814,67.2464,61.50292676
10674.71122,0.77639,67.36664,61.55788739
10674.67622,0.78193,67.23368,61.49710969
10674.63622,0.77139,67.48664,61.61268944
10674.60122,0.75486,67.88336,61.79351908
10674.56922,0.76318,67.68368,61.70256883
10674.55422,0.74681,68.07656,61.88139058
10674.54022,0.76052,67.74752,61.73166124
10674.39322,0.7408,68.2208,61.94691276
10674.35722,0.78056,67.26656,61.51214514
10674.33622,0.73261,68.41736,62.0360903
10674.31922,0.73604,68.33504,61.99875805
10674.27922,0.7575,67.82,61.76467437
10674.24122,0.74777,68.05352,61.87091805
10674.20722,0.75164,67.96064,61.82868266
10674.17322,0.75299,67.92824,61.8139426
10674.12922,0.72602,68.57552,62.10775314
10674.09522,0.73989,68.24264,61.95682771
10674.05022,0.75492,67.88192,61.79286367
10674.01322,0.75896,67.78496,61.74871659
10673.97822,0.78216,67.22816,61.49458513
10673.94322,0.78309,67.20584,61.48437606
10673.90922,0.76077,67.74152,61.72892758
10673.86922,0.77782,67.33232,61.54220503
10673.83422,0.80223,66.74648,61.27388922
10673.79722,0.75888,67.78688,61.74959109
10673.76122,0.81,66.56,61.18823416
10673.72922,0.81962,66.32912,61.08201863
10673.70022,0.79969,66.80744,61.30186376
10673.68122,0.81656,66.40256,61.11582446
10673.51622,0.84691,65.67416,60.77969645
10673.47422,0.84997,65.60072,60.74570355
10673.47322,0.8604,65.3504,60.62969569
10673.44022,0.85962,65.36912,60.63837894
10673.40222,0.87724,64.94624,60.44192254
10673.36722,0.86794,65.16944,60.54569349
10673.32922,0.87381,65.02856,60.48021577
10673.31422,0.81829,66.36104,61.09671431
10673.28822,0.90154,64.36304,60.16993435
10673.25022,0.87879,64.90904,60.42461005
